"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",102725191,0.023304,1,1,0,0.188412205128205,"AC013470.2"
"PAAD",85477,4.8752e-05,5.798,3.192,0.861094681839051,0.0018022806405959,"SCIN"
"PAAD",1607,0.034983,1,1,0,0.243685041403509,"DGKB"
"PAAD",392636,0.0025146,3.019,1,1.59407075685154,0.0388783794392523,"AGMO"
"PAAD",105375166,5.9277e-05,1,1,0,0.00210890144086022,"AC005550.2"
"PAAD",25928,1.605e-08,1.512,1,0.596458139558986,1.78002569832402e-06,"SOSTDC1"
"PAAD",28969,0.00014288,64.372,44.673,0.527030151641045,0.00437724345679012,"BZW2"
"PAAD",27075,0.0083048,127.041,96.219,0.400900463033413,0.0935149685762904,"TSPAN13"
"PAAD",10551,1.4782e-08,649.555,18.224,5.1555401314008,1.69380914942529e-06,"AGR2"
"PAAD",155465,9.8288e-08,95.792,15.826,2.59760851301664,8.59565363876652e-06,"AGR3"
"PAAD",256130,0.0014857,1,1,0,0.0263025741763134,"TMEM196"
"PAAD",8701,0.047683,1,1,0,0.295167731836607,"DNAH11"
"PAAD",10643,8.9618e-17,2.37,1.268,0.902332313646214,9.36366597894737e-14,"IGF2BP3"
"PAAD",56164,8.9617e-08,1.384,1,0.468843942974637,7.90700748444444e-06,"STK31"
"PAAD",54205,0.0022309,38.833,29.218,0.410425737676203,0.0355728099438653,"CYCS"
"PAAD",29887,0.0075482,13.008,48.064,-1.88555755543924,0.08727249062318,"SNX10"
"PAAD",3199,2.671e-05,2.021,1.345,0.587463148935749,0.00108290634285714,"HOXA2"
"PAAD",3200,0.00071742,5.706,2.787,1.03376674447791,0.0153969965837838,"HOXA3"
