cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,3159,HMGA1,1e-20,2.00337284069243
LUAD,6204,RPS10,1e-20,1.53448164250409
LUAD,25803,SPDEF,1e-20,2.96646633709954
LUAD,222663,SCUBE3,1e-20,1.50842865253186
LUAD,222662,LHFPL5,1e-20,1.51349074558812
LUAD,6732,SRPK1,1e-20,1.62391769109752
LUAD,266727,MDGA1,1.7367e-11,-2.02894322156406
LUAD,4337,MOCS1,3.186e-17,-1.54627071505613
LUAD,222643,UNC5CL,1e-20,3.01336250714456
LUAD,171558,PTCRA,7.1687e-15,-2.43001758672766
LUAD,860,RUNX2,1e-20,1.54190806102958
LUAD,53405,CLIC5,1e-20,-4.53346705403134
LUAD,221395,ADGRF5,1.3665e-18,-1.65012022809276
LUAD,266977,ADGRF1,1e-20,1.8948713372412
LUAD,27242,TNFRSF21,1e-20,2.04481733384788
LUAD,135398,C6orf141,1e-20,1.72250394073914
LUAD,54511,HMGCLL1,2.4358000000000004e-19,-1.87970576628229
LUAD,202559,KHDRBS2,1e-20,-3.05831649559082
LUAD,51557,LGSN,1e-20,2.43482835641991
LUAD,27145,FILIP1,1e-20,-2.39028598465626
LUAD,80078,LCAL1,1.319e-19,2.08474462086847
LUAD,7272,TTK,1e-20,2.76595900604575
LUAD,7162,TPBG,1e-20,1.80373067655795
LUAD,9457,FHL5,1.7567e-18,-3.09896360683146
LUAD,55084,SOBP,1e-20,-1.9789663001278
LUAD,27244,SESN1,1e-20,-1.65403554961775
LUAD,8528,DDO,2.7135e-19,-1.81632863353332
LUAD,1300,COL10A1,1e-20,4.90506202354978
LUAD,221303,FAM162B,6.7499e-16,-2.47862545756615
LUAD,79632,FAM184A,1.3791e-14,-1.81478330572647
LUAD,5570,PKIB,1e-20,1.67186933730785
LUAD,2037,EPB41L2,1.8927e-16,-1.57435600368226
LUAD,1490,CCN2,7.4196e-11,-1.64159193542232
LUAD,6943,TCF21,2.9061000000000005e-19,-3.88688511250832
LUAD,53832,IL20RA,6.4399e-12,-1.80366253972983
LUAD,57224,NHSL1,1e-20,-1.99714223404565
LUAD,9749,PHACTR2,7.381e-18,-1.70177310713457
LUAD,8676,STX11,1e-20,-3.05899740171965
LUAD,7402,UTRN,4.4488e-16,-1.57368294141517
LUAD,389432,SAMD5,7.9566e-11,-1.76341157447001
LUAD,23328,SASH1,2.2117e-16,-1.8391255793494
LUAD,80177,MYCT1,1e-20,-2.45432539518447
LUAD,26575,RGS17,1e-20,1.54052329643822
LUAD,8871,SYNJ2,1e-20,1.50349840009226
LUAD,84624,FNDC1,2.3907e-16,1.73696559416621
LUAD,7058,THBS2,1e-20,2.64538836116341
LUAD,115330,GPR146,1.3099e-14,-1.98440706531061
LUAD,202915,TMEM184A,1e-20,2.92616839527271
